Series ID,Year,Period,Label,Value
CUUR0000SEFF,1935,M01,1935 Jan,32.4
CUUR0000SEFF,1935,M02,1935 Feb,34.5
CUUR0000SEFF,1935,M03,1935 Mar,35.4
CUUR0000SEFF,1935,M04,1935 Apr,36.6
CUUR0000SEFF,1935,M05,1935 May,37.7
CUUR0000SEFF,1935,M06,1935 Jun,37.9
CUUR0000SEFF,1935,M07,1935 Jul,35.9
CUUR0000SEFF,1935,M08,1935 Aug,36.4
CUUR0000SEFF,1935,M09,1935 Sep,37.4
CUUR0000SEFF,1935,M10,1935 Oct,36.7
CUUR0000SEFF,1935,M11,1935 Nov,37.0
CUUR0000SEFF,1935,M12,1935 Dec,37.3
CUUR0000SEFF,1936,M01,1936 Jan,38.4
CUUR0000SEFF,1936,M02,1936 Feb,38.7
CUUR0000SEFF,1936,M03,1936 Mar,38.7
CUUR0000SEFF,1936,M04,1936 Apr,39.3
CUUR0000SEFF,1936,M05,1936 May,38.8
CUUR0000SEFF,1936,M06,1936 Jun,37.9
CUUR0000SEFF,1936,M07,1936 Jul,40.6
CUUR0000SEFF,1936,M08,1936 Aug,40.4
CUUR0000SEFF,1936,M09,1936 Sep,39.7
CUUR0000SEFF,1936,M10,1936 Oct,37.4
CUUR0000SEFF,1936,M11,1936 Nov,35.8
CUUR0000SEFF,1936,M12,1936 Dec,35.0
CUUR0000SEFF,1937,M01,1937 Jan,35.7
CUUR0000SEFF,1937,M02,1937 Feb,36.1
CUUR0000SEFF,1937,M03,1937 Mar,37.0
CUUR0000SEFF,1937,M04,1937 Apr,38.0
CUUR0000SEFF,1937,M05,1937 May,38.8
CUUR0000SEFF,1937,M06,1937 Jun,39.3
CUUR0000SEFF,1937,M07,1937 Jul,39.9
CUUR0000SEFF,1937,M08,1937 Aug,42.4
CUUR0000SEFF,1937,M09,1937 Sep,43.3
CUUR0000SEFF,1937,M10,1937 Oct,43.3
CUUR0000SEFF,1937,M11,1937 Nov,42.6
CUUR0000SEFF,1937,M12,1937 Dec,42.1
CUUR0000SEFF,1938,M01,1938 Jan,42.5
CUUR0000SEFF,1938,M02,1938 Feb,42.1
CUUR0000SEFF,1938,M03,1938 Mar,41.7
CUUR0000SEFF,1938,M04,1938 Apr,42.8
CUUR0000SEFF,1938,M05,1938 May,42.9
CUUR0000SEFF,1938,M06,1938 Jun,42.3
CUUR0000SEFF,1938,M07,1938 Jul,40.6
CUUR0000SEFF,1938,M08,1938 Aug,38.8
CUUR0000SEFF,1938,M09,1938 Sep,37.9
CUUR0000SEFF,1938,M10,1938 Oct,35.7
CUUR0000SEFF,1938,M11,1938 Nov,34.5
CUUR0000SEFF,1938,M12,1938 Dec,35.1
CUUR0000SEFF,1939,M01,1939 Jan,36.5
CUUR0000SEFF,1939,M02,1939 Feb,36.4
CUUR0000SEFF,1939,M03,1939 Mar,36.5
CUUR0000SEFF,1939,M04,1939 Apr,36.8
CUUR0000SEFF,1939,M05,1939 May,36.8
CUUR0000SEFF,1939,M06,1939 Jun,36.5
CUUR0000SEFF,1939,M07,1939 Jul,36.3
CUUR0000SEFF,1939,M08,1939 Aug,35.9
CUUR0000SEFF,1939,M09,1939 Sep,35.8
CUUR0000SEFF,1939,M10,1939 Oct,34.1
CUUR0000SEFF,1939,M11,1939 Nov,33.2
CUUR0000SEFF,1939,M12,1939 Dec,32.7
CUUR0000SEFF,1940,M01,1940 Jan,32.5
CUUR0000SEFF,1940,M02,1940 Feb,33.2
CUUR0000SEFF,1940,M03,1940 Mar,34.2
CUUR0000SEFF,1940,M04,1940 Apr,35.4
CUUR0000SEFF,1940,M05,1940 May,38.3
CUUR0000SEFF,1940,M06,1940 Jun,39.6
CUUR0000SEFF,1940,M07,1940 Jul,39.2
CUUR0000SEFF,1940,M08,1940 Aug,37.5
CUUR0000SEFF,1940,M09,1940 Sep,36.7
CUUR0000SEFF,1940,M10,1940 Oct,35.4
CUUR0000SEFF,1940,M11,1940 Nov,34.6
CUUR0000SEFF,1940,M12,1940 Dec,35.4
CUUR0000SEFF,1941,M01,1941 Jan,37.0
CUUR0000SEFF,1941,M02,1941 Feb,37.9
CUUR0000SEFF,1941,M03,1941 Mar,38.1
CUUR0000SEFF,1941,M04,1941 Apr,39.4
CUUR0000SEFF,1941,M05,1941 May,40.2
CUUR0000SEFF,1941,M06,1941 Jun,40.2
CUUR0000SEFF,1941,M07,1941 Jul,39.7
CUUR0000SEFF,1941,M08,1941 Aug,39.2
CUUR0000SEFF,1941,M09,1941 Sep,39.2
CUUR0000SEFF,1941,M10,1941 Oct,38.6
CUUR0000SEFF,1941,M11,1941 Nov,37.7
CUUR0000SEFF,1941,M12,1941 Dec,38.1
CUUR0000SEFF,1942,M01,1942 Jan,40.7
CUUR0000SEFF,1942,M02,1942 Feb,42.1
CUUR0000SEFF,1942,M03,1942 Mar,42.6
CUUR0000SEFF,1942,M04,1942 Apr,42.6
CUUR0000SEFF,1942,M05,1942 May,43.1
CUUR0000SEFF,1942,M06,1942 Jun,46.8
CUUR0000SEFF,1942,M07,1942 Jul,47.8
CUUR0000SEFF,1942,M08,1942 Aug,50.0
CUUR0000SEFF,1942,M09,1942 Sep,50.8
CUUR0000SEFF,1942,M10,1942 Oct,50.5
CUUR0000SEFF,1942,M11,1942 Nov,50.7
CUUR0000SEFF,1942,M12,1942 Dec,51.2
CUUR0000SEFF,1943,M01,1943 Jan,53.0
CUUR0000SEFF,1943,M02,1943 Feb,54.5
CUUR0000SEFF,1943,M03,1943 Mar,55.0
CUUR0000SEFF,1943,M04,1943 Apr,55.4
CUUR0000SEFF,1943,M05,1943 May,56.1
CUUR0000SEFF,1943,M06,1943 Jun,55.9
CUUR0000SEFF,1943,M07,1943 Jul,55.9
CUUR0000SEFF,1943,M08,1943 Aug,55.9
CUUR0000SEFF,1943,M09,1943 Sep,56.1
CUUR0000SEFF,1943,M10,1943 Oct,55.8
CUUR0000SEFF,1943,M11,1943 Nov,55.7
CUUR0000SEFF,1943,M12,1943 Dec,56.4
CUUR0000SEFF,1944,M01,1944 Jan,56.9
CUUR0000SEFF,1944,M02,1944 Feb,56.9
CUUR0000SEFF,1944,M03,1944 Mar,57.0
CUUR0000SEFF,1944,M04,1944 Apr,57.1
CUUR0000SEFF,1944,M05,1944 May,59.2
CUUR0000SEFF,1944,M06,1944 Jun,58.5
CUUR0000SEFF,1944,M07,1944 Jul,57.5
CUUR0000SEFF,1944,M08,1944 Aug,56.9
CUUR0000SEFF,1944,M09,1944 Sep,56.7
CUUR0000SEFF,1944,M10,1944 Oct,56.9
CUUR0000SEFF,1944,M11,1944 Nov,57.1
CUUR0000SEFF,1944,M12,1944 Dec,57.2
CUUR0000SEFF,1945,M01,1945 Jan,57.8
CUUR0000SEFF,1945,M02,1945 Feb,58.1
CUUR0000SEFF,1945,M03,1945 Mar,58.4
CUUR0000SEFF,1945,M04,1945 Apr,58.6
CUUR0000SEFF,1945,M05,1945 May,59.4
CUUR0000SEFF,1945,M06,1945 Jun,59.6
CUUR0000SEFF,1945,M07,1945 Jul,59.3
CUUR0000SEFF,1945,M08,1945 Aug,59.7
CUUR0000SEFF,1945,M09,1945 Sep,59.2
CUUR0000SEFF,1945,M10,1945 Oct,57.9
CUUR0000SEFF,1945,M11,1945 Nov,57.9
CUUR0000SEFF,1945,M12,1945 Dec,58.1
CUUR0000SEFF,1946,M01,1946 Jan,58.0
CUUR0000SEFF,1946,M02,1946 Feb,57.4
CUUR0000SEFF,1946,M03,1946 Mar,57.0
CUUR0000SEFF,1946,M04,1946 Apr,60.5
CUUR0000SEFF,1946,M05,1946 May,61.4
CUUR0000SEFF,1946,M06,1946 Jun,61.8
CUUR0000SEFF,1946,M07,1946 Jul,67.7
CUUR0000SEFF,1946,M08,1946 Aug,66.5
CUUR0000SEFF,1946,M09,1946 Sep,73.2
CUUR0000SEFF,1946,M10,1946 Oct,85.6
CUUR0000SEFF,1946,M11,1946 Nov,71.7
CUUR0000SEFF,1946,M12,1946 Dec,71.9
CUUR0000SEFF,1947,M01,1947 Jan,70.6
CUUR0000SEFF,1947,M02,1947 Feb,67.0
CUUR0000SEFF,1947,M03,1947 Mar,67.7
CUUR0000SEFF,1947,M04,1947 Apr,67.3
